AP350 Power Channel DFS Test Specific (Cario-20120515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenna Gain(dbi):,,,2.4G:,,3,,5G:,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Gain(db):,,,2*2:,,3,,3*2:,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Code,,Channel Mode,2.4G HT20,,,,,,,,,,,,,5G HT20,,,,,,,,,,,,,,,,,,,,,,,
,,Channel,1,2,3,4,5,6,7,8,9,10,11,12,13,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,149,153,157,161,165
,,Frequency(hz),2412,2417,2422,2427,2432,2437,2442,2447,2452,2457,2462,2467,2472,5180,5200,5220,5240,5260,5280,5300,5320,5500,5520,5540,5560,5580,5600,5620,5640,5660,5680,5700,5745,5765,5785,5805,5825
FCC,,Total Peak Power Limit(dbm),30,30,30,30,30,30,30,30,30,30,30,¡Á,¡Á,17,17,17,17,23,23,23,23,23,23,23,23,23,¡Á,¡Á,¡Á,23,23,23,30,30,30,30,30
,,Chain Power limit(dbm),27,27,27,27,27,27,27,27,27,27,27,¡Á,¡Á,14,14,14,14,20,20,20,20,20,20,20,20,20,¡Á,¡Á,¡Á,20,20,20,27,27,27,27,27
World,,Total EIRP Power Limit(dbm),20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,30,30,30,30,30,30,30,30,30,30,30,¡Á,¡Á,¡Á,¡Á,¡Á
,,Chain Power limit(dbm),14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,25,25,25,25,25,25,25,25,25,25,25,¡Á,¡Á,¡Á,¡Á,¡Á
USA,840,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,826,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAE,784,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigpore,702,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadi_Araba,682,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,458,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
