CaseID,PlatformDependence,Priority,Automation Flag,Description,Scripting,Automated,Regression Required,
wanredundancy_guihm_01.xml,,Middle,Yes,"[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP[no] interface ethx mode wan;show wan interface ethxPlatformDependenceBR100, BR200, BR200WP",,,,
wanredundancy_solution_usbisbackup_38.xml,,Middle,Yes,"WAN behavior when there is eth0 and wifi0 available, both track wan and track default gateway for eth0 are down, while track wan for wifi0 is upPlatformDependenceBR200WP, BRAP330, BRAP350WAN behavior when there is usbnet and wifi0 available, both track wan and track default gateway for usbnet are down, while track wan for wifi0 is down and track default gateway for wifi0 is upPlatformDependenceBR200WP, BRAP330, BRAP350",,,,
wanredundancy_solution_usbisbackup_26.xml,,Middle,Yes,"WAN behavior when there is eth0 and eth3 available, both track wan and track default gateway for eth0 are down, while track wan for eth3 is upPlatformDependenceBR100, BR200, BR200WPWAN behavior when there is usbnet and eth3 available, both track wan and track default gateway for usbnet are down, while track wan for eth3 is down and track default gateway for eth3 is upPlatformDependenceBR100, BR200, BR200WP",,,,
wanredundancy_solution_usbisbackup_82.xml,,Middle,Yes,"WAN behavior when there is eth0, usb and wifi0 available, both track wan and track default gateway for eth0 are down, while track wan for usbnet is down and track wan for wifi0 is upPlatformDependenceBR200WP, BRAP330, BRAP350WAN behavior when there is eth0, usb and wifi0 available, both track wan and track default gateway for usbnet are down, while track wan for eth0 is down and track default gateway for eth0 is up, and track wan for wifi0 is downPlatformDependenceBR100, BR200, BR200WP",,,,
wanredundancy_solution_usbisbackup_56.xml,,Low,Yes,"WAN behavior when there is eth0, usb and eth2 available, both track wan and track default gateway for eth0 are down, while track wan for usbnet is down and track default gateway for usbnet is up, and track wan for eth2 is downPlatformDependenceBR100, BR200, BR200WPWAN behavior when there is eth0, usb and eth2 available, both track wan and track default gateway for usbnet are down, while both track wan and track default gateway for eth0 are down, and track wan for eth2 is down and track default gateway for eth2 is upPlatformDependenceBR100, BR200, BR200WP",,,,
wanredundancy_solution_usbisbackup_13.xml,,High,Yes,"WAN behavior when there is eth0 and eth1 available, track wan for eth0 is down and track default gateway for eth0 is up, while track wan for eth1 is downPlatformDependenceBR100, BR200, BR200WP, BRAP330, BRAP350WAN behavior when there is usbnet and eth1 available, both track wan and track default gateway for usbnet are down, while track wan for eth1 is upPlatformDependenceBR100, BR200, BR200WP, BRAP330, BRAP350",,,,
wanredundancy_function_failover_03.xml,,Middle,Yes,"Failover behavior when fail track with 1st priority interface, and 2nd priority interface is downPlatformDependenceBR100, BR200, BR200WP, BRAP330, BRAP350",,,,
wanredundancy_climgt_18.xml,,Middle,Yes,"[no] track-wan <string>PlatformDependenceBR100, BR200, BR200WP, BRAP330, BRAP350",,,,
wanredundancy_function_failover_01.xml,,High,Yes,"Failover to usbnet when usb is on-demand modePlatformDependenceBR100, BR200, BR200WP, BRAP330, BRAP350",,,,
wanredundancy_solution_usbisbackup_77.xml,,Low,Yes,"WAN behavior when there is eth0, usb and wifi0 available, and both track wan and track default gateway for eth0 are upPlatformDependenceBR200WP, BRAP330, BRAP350WAN behavior when there is eth0, usb and wifi0 available, track wan for usbnet  is down and track default gateway for eth0 is up, while track wan for usbnet is upPlatformDependenceBR100, BR200, BR200WP",,,,
