User index	HW index	Chip Id
ETH1/1	1	0
ETH1/2	0	0
ETH1/3	2	0
ETH1/4	3	0
ETH1/5	5	0
ETH1/6	4	0
ETH1/7	6	0
ETH1/8	7	0
ETH1/9	9	0
ETH1/10	8	0
ETH1/11	10	0
ETH1/12	11	0
ETH1/13	13	0
ETH1/14	12	0
ETH1/15	14	0
ETH1/16	15	0
ETH1/17	17	0
ETH1/18	16	0
ETH1/19	18	0
ETH1/20	19	0
ETH1/21	21	0
ETH1/22	20	0
ETH1/23	22	0
ETH1/24	23	0
ETH1/25	1	1
ETH1/26	0	1
ETH1/27	2	1
ETH1/28	3	1
ETH1/29	5	1
ETH1/30	4	1
ETH1/31	6	1
ETH1/32	7	1
ETH1/33	9	1
ETH1/34	8	1
ETH1/35	10	1
ETH1/36	11	1
ETH1/37	13	1
ETH1/38	12	1
ETH1/39	14	1
ETH1/40	15	1
ETH1/41	17	1
ETH1/42	16	1
ETH1/43	18	1
ETH1/44	19	1
ETH1/45	21	1
ETH1/46	20	1
ETH1/47	22	1
ETH1/48	23	1
ETH1/49	26	1
ETH1/50	27	1
ETH1/51	25	0
ETH1/52	24	0

